x,y,z
10478.4,3.66999e+39,0.464548
10482.7,3.66827e+39,0.463115
10486.3,3.66678e+39,0.461869
10488.5,3.66582e+39,0.461066
10489.5,3.66533e+39,0.460662
10491.7,3.66432e+39,0.459821
10495.3,3.6626e+39,0.458418
10499.6,3.66038e+39,0.456681
10503.8,3.65797e+39,0.454935
10507.4,3.65582e+39,0.453511
10509.6,3.65442e+39,0.452651
10510.7,3.65371e+39,0.452237
10512.9,3.65221e+39,0.451411
10516.4,3.64966e+39,0.450147
10520.7,3.64632e+39,0.448773
10525,3.6427e+39,0.44762
10528.5,3.63947e+39,0.446872
10530.7,3.63736e+39,0.446517
10531.4,3.63666e+39,0.446422
10532.1,3.63598e+39,0.44634
10533.2,3.63487e+39,0.446225
10534.5,3.63349e+39,0.446116
10535.9,3.63208e+39,0.446038
10537,3.63089e+39,0.445998
10537.6,3.63014e+39,0.445983
10538.2,3.62953e+39,0.445977
10539.7,3.6278e+39,0.445986
10542.1,3.62491e+39,0.446079
10545.1,3.62126e+39,0.446314
10548.1,3.61746e+39,0.446675
10550.5,3.6142e+39,0.447061
10552,3.61213e+39,0.447338
10553,3.61088e+39,0.447517
10555.2,3.6078e+39,0.447987
10558.7,3.60267e+39,0.448855
10563,3.59625e+39,0.450059
10567.3,3.5896e+39,0.451407
10570.8,3.58396e+39,0.45261
10573,3.58041e+39,0.453386
10574.1,3.57865e+39,0.453774
10576.3,3.57504e+39,0.454577
10579.8,3.56911e+39,0.455891
10584.1,3.56185e+39,0.457463
10588.4,3.55448e+39,0.458958
10592,3.54834e+39,0.460096
10594.2,3.54452e+39,0.460738
10595.2,3.54265e+39,0.461032
10597.4,3.53882e+39,0.461587
10601,3.53263e+39,0.462341
10605.3,3.52515e+39,0.462978
10609.6,3.5177e+39,0.463268
10613.1,3.51159e+39,0.46321
10615.3,3.50783e+39,0.463025
10616.4,3.506e+39,0.462891
10618.6,3.50228e+39,0.46252
10622.1,3.49632e+39,0.461619
10626.4,3.48925e+39,0.45996
10630.7,3.48234e+39,0.457583
10634.3,3.47676e+39,0.455003
10636.5,3.47338e+39,0.453103
10637.5,3.47174e+39,0.452081
10639.7,3.46845e+39,0.449802
10643.3,3.46326e+39,0.445504
10647.6,3.45723e+39,0.439165
10651.9,3.45149e+39,0.431395
10655.4,3.44697e+39,0.423753
10657.6,3.44429e+39,0.418425
10658.4,3.44332e+39,0.416338
10659.5,3.44202e+39,0.413377
10661.3,3.43997e+39,0.408329
10663.5,3.43758e+39,0.401815
10665.6,3.43528e+39,0.394871
10667.4,3.43346e+39,0.388817
10668.5,3.43236e+39,0.38494
10669.1,3.43184e+39,0.383017
10670.2,3.43081e+39,0.379058
10671.9,3.42919e+39,0.37246
10674,3.42732e+39,0.364178
10676.2,3.42555e+39,0.355581
10677.9,3.42416e+39,0.348246
10679,3.42333e+39,0.343614
10679.8,3.42273e+39,0.340144
10682,3.42117e+39,0.330507
10685.6,3.41884e+39,0.314459
10689.9,3.41635e+39,0.294522
10694.1,3.41419e+39,0.274306
10697.7,3.41264e+39,0.257605
10699.9,3.41179e+39,0.247374
10701,3.4114e+39,0.242399
10703.2,3.41065e+39,0.232359
10706.7,3.40961e+39,0.216472
10711,3.40859e+39,0.197949
10715.3,3.40783e+39,0.180316
10718.8,3.40737e+39,0.166512
10721,3.40716e+39,0.158369
10722.1,3.40708e+39,0.154494
10724.3,3.40695e+39,0.146836
10727.9,3.40686e+39,0.13511
10732.1,3.40691e+39,0.12196
10736.4,3.40713e+39,0.109849
10740,3.40743e+39,0.100553
10742.2,3.40766e+39,0.0951074
10743.3,3.40779e+39,0.0925174
10745.5,3.40807e+39,0.0873938
10749,3.40858e+39,0.0795504
10753.3,3.4093e+39,0.0707781
10757.6,3.41011e+39,0.0627579
10761.1,3.41082e+39,0.0566732
10763.3,3.41128e+39,0.0531522
10764.4,3.41152e+39,0.0514913
10766.6,3.412e+39,0.0482355
10770.1,3.41279e+39,0.0433343
10774.4,3.41377e+39,0.037982
10778.7,3.41475e+39,0.0332208
10782.3,3.41555e+39,0.0297021
10784.5,3.41603e+39,0.027706
10785.5,3.41627e+39,0.0267756
10787.7,3.41674e+39,0.0249734
10791.3,3.41747e+39,0.0223138
10795.6,3.4183e+39,0.0194848
10799.9,3.41905e+39,0.0170338
10803.4,3.4196e+39,0.015258
10805.6,3.41991e+39,0.014261
10806.4,3.42e+39,0.0139363
10807.2,3.42011e+39,0.0135712
10808.6,3.42027e+39,0.0130025
10810.3,3.42045e+39,0.0123499
10812,3.4206e+39,0.0117341
10813.4,3.42071e+39,0.0112514
10814.3,3.42078e+39,0.0109646
10814.8,3.42081e+39,0.0107908
10816.2,3.42089e+39,0.0103759
10818.3,3.42098e+39,0.00974562
10820.9,3.42103e+39,0.00904659
10823.5,3.42103e+39,0.0084113
10825.6,3.42098e+39,0.00793005
10827,3.42093e+39,0.00765101
10827.8,3.42089e+39,0.00747678
10830,3.42076e+39,0.00705825
10833.6,3.42044e+39,0.00644917
10837.9,3.41989e+39,0.00581101
10842.2,3.41916e+39,0.00526236
10845.7,3.41841e+39,0.00486262
10847.9,3.41788e+39,0.00463482
10849,3.4176e+39,0.00452755
10851.2,3.417e+39,0.00431697
10854.7,3.4159e+39,0.00399931
10859,3.41439e+39,0.00365189
10863.3,3.41267e+39,0.00334305
10866.9,3.41108e+39,0.00311562
